Name (.mp4),Brief Description,Usable?
hearEBR,Clear eyes visible,Yes
holeEBR,Too dark,No
horseEBR,Left pupil is hidden for the most part,Not really
hourEBR,Clear eyes visible,Yes
housingEBR,Clear eyes visible,Yes
hurlEBR,Clear eyes visible,Yes
hutEBR,Too dark,No
hypothesizeEBR,Clear left pupil hidden,Maybe
ifEBR,Left eye is hidden,No
immuneEBR,Some frames are good but not most,Maybe
importEBR,Clear eyes visible,Yes
incredibleEBR,Clear eyes visible,Yes
indicationEBR,Clear eyes visible,Yes
indoorEBR,Left pupil is hidden,No
inflationEBR,Bad camera positioning,No
innocentEBR,First minute has potential,Maybe
insightEBR,Clear eyes visible,Yes
intentionEBR,Clear eyes visible,Yes
interestEBR,Too blurry,No
inviteEBR,Clear eyes visible for the most part,Yes
januaryEBR,Left pupil is hidden,No
jockeyEBR,Too blurry,No
justiceEBR,Clear left eye is only visible sometimes,Yes
kickEBR,Too dark,No
kitchenEBR,Eyes aren’t evident,No
laboratoryEBR,Clear eyes visible glare,Yes
laceEBR,Clear eyes visible glare,Yes
landEBR,Bad camera positioning,No
laserEBR,Left eye is hidden,No
legendEBR,Left eye is hidden,No
lieEBR,Too dark,No
lightEBR,Left eye is hidden,No
limiteEBR,Clear left eye is a bit obstructed,Yes
linkEBR,Clear eyes visible,Yes
lipsEBR,Clear eyes visible,Yes
locateEBR,Clear eyes visible,Yes
lockEBR,Clear eyes visible glare,Yes
lookEBR,Some frames maybe usable but too much glare,Not really
loopEBR,Left eye is completely hidden,No
loudEBR,Clear eyes visible,Yes
managerEBR,Too blurry,No
marketingEBR,Clear eyes visible maybe too dark,Maybe
massEBR,Clear eyes visible,Yes
mayorEBR,Clear eyes visible,Yes
measureEBR,Clear eyes visible little blurry,Yes
meatEBR,Clear eyes visible,Yes
medalEBR,Clear eyes visible,Yes
memberEBR,Both pupils are hidden,No
memoryEBR,Clear eyes visible,Yes
menuEBR,Clear eyes visible too dark at times,Yes
minimizeEBR,Hidden left pupil too much glare,No
mistreatEBR,Clear eyes visible,Yes
monkEBR,Hidden left pupil too much glare,No
monstrousEBR,Clear eyes visible,Yes
mouseEBR,Pupils hidden,No
mouthEBR,Too blurry,No
moyenneEBR,Clear eyes visible,Yes
mugEBR,Too blurry,No
natureEBR,Clear eyes visible,Yes
neckEBR,Clear eyes visible,Yes
negligenceEBR,Too dark,No
nerveuxEBR,Bad camera positioning glare,No
newEBR,Can’t see pupils,No
newsEBR,Too blurry,No
nominateEBR,Too dark blurry and glare,No
noteEBR,Clear eyes visible glare,Yes
novemberEBR,Clear eyes visible glare,Yes
oakEBR,Left eye hidden,No
obscureEBR,Bad camera positioning,No
offenseEBR,Clear left eye kind of hidden,Yes
oftEBR,Left eye is hidden,No
ohEBR,Clear left eye kind of hidden,Yes
omissionEBR,Too dark and left eye hidden,No
onEBR,Left eye hidden,No
optionEBR,Clear left eye kind of hidden,Yes
orangeEBR,Clear eyes visible,Yes
orEBR,Clear eyes visible,Yes
organEBR,Clear eyes visible,Yes
originalEBR,Clear eyes visible little hard to see,Yes
ovenEBR,Clear eyes visible,Yes
overwhelmEBR,Clear eyes visible glare,Yes
packetEBR,Clear eyes visible glare,Yes
paintEBR,Clear left eye kind of hidden glare,Yes
panicEBR,Clear eyes visible,Yes
parameterEBR,Glare or too dark,No
passionEBR,Clear eyes visible,Yes
pastureEBR,Little too dark,No
pauseEBR,Clear eyes visible,Yes
peaceEBR,Clear eyes visible,Yes
peanutEBR,Too much glare or too dark to see eyes,No
penEBR,Left pupil is quite hidden,Not really
perfectEBR,Clear eyes visible,Yes
pianoEBR,Clear eyes visible little blurry,Yes
pieceEBR,Pupils are pretty hidden,Not really
pieEBR,Clear left eye a little hidden,Yes
pileEBR,Left pupil is quite hidden,Not really
pintEBR,Clear eyes visible,Yes
pitchEBR,Clear eyes visible some glare,Yes
potentialEBR,Clear eyes visible glare,Yes
potteryEBR,Clear eyes visible glare,Yes
prayerEBR,Glare or hair is impacting view,No
preferEBR,Clear eyes visible just gets quite dark,Maybe
preparationEBR,Left pupil is quite hidden,Not really
presentEBR,Clear eyes visible,Yes
pressureEBR,Clear eyes visible,Yes
priceEBR,Clear eyes visible,Yes
progressiveEBR,Certain frames would be perfect some w/ too much glare,Maybe
promoteEBR,Clear eyes visible,Yes
proposalEBR,Clear eyes visible,Yes
provisionEBR,Left pupil is quite hidden,Not really
pumpkinEBR,Clear eyes visible,Yes
pupilEBR,Clear eyes visible,Yes
quarterEBR,Right pupil is quite hidden,Not really
quoteEBR,Can’t see eyes,No
rackEBR,Clear eyes visible some glare,Yes
radioEBR,Clear eyes visible dark,Yes
radishEBR,Clear eyes visible,Yes
raiseEBR,Hidden pupils,No
rallyEBR,Clear eyes visible,Yes
rankEBR,Clear right eye visible for portions of video,Yes
recordEBR,Clear eyes visible glare,Yes
recordingEBR,Clear eyes visible,Yes
recoverEBR,Can’t see eyes,No
referEBR,Dark also can’t see eyes,No
refundEBR,Blur and lots of glare,No
refuseEBR,Left eye hidden,No
registrationEBR,Can only see right eye,No
reignEBR,Clear eyes visible,Yes
rejectEBR,Can’t really see left pupil,Maybe
remainEBR,Clear eyes visible,Yes
rentEBR,Right pupil is hidden,No
reportEBR,Clear eyes visible,Yes
requestEBR,Clear eyes visible,Yes
researcherEBR,Clear eyes visible quite dark though,Maybe
resistEBR,Clear eyes visible,Yes
respectEBR,Left eye is hidden,Yes
responseEBR,Can’t see either pupils,No
restorationEBR,Clear eyes visible,Yes
retirementEBR,Clear eyes visible,Yes
revealEBR,Clear eyes visible,Yes
revitalizeEBR,Clear eyes visible,Yes
revivalEBR,Clear eyes visible little dark,Yes
richEBR,Clear eyes visible,Yes
roadEBR,Dark and can’t see left eye,No
roundEBR,Clear eyes visible little dark & glare,Maybe
rugbyEBR,Clear eyes visible,Yes
rushEBR,Left eye is hidden for most of video,Not really
sacredEBR,Can’t see eyes,No
sacrificeEBR,Too much glare,No
sailorEBR,Clear eyes visible,Yes
saladEBR,Too dark glare can’t see eyes,No
sampleEBR,Can’t see both eyes at same time,No
scanEBR,Can’t see left pupil,No
schoolEBR,Clear eyes visible,Yes
scrapEBR,Clear eyes visible (1st minute only),Yes
sealEBR,Clear eyes visible,Yes
seasonEBR,Can’t see right eye,No
sectionEBR,Right eye covered,No
secureEBR,Left eye hidden,No
securityEBR,Left eye hidden,No
selectionEBR,Clear eyes visible (first 30-45 seconds),Yes
sentenceEBR,Too zoomed in,No
shadowEBR,Clear eyes visible,Yes
sheEBR,Too blurry,No
sheetEBR,Bad camera positioning,No
shellEBR,Left eye hidden,No
shoulderEBR,Clear eyes visible,Yes
showEBR,Clear eyes visible glare,Yes
showedEBR,Clear left eye hidden glare,No
shrillEBR,Too blurry,No
singEBR,Clear eyes visible,Yes
sipEBR,Too blurry,No
skateEBR,Clear eyes visible,Yes
skiEBR,Clear eyes visible,Yes
skinEBR,Can’t really see left eye,No
slimeEBR,Can’t really see pupils,No
slipEBR,Left pupil hidden but could work,Maybe
slowEBR,Glare and hair covers pupils,No
smoothEBR,Clear eyes visible,Yes
snailEBR,Bad camera positioning,No
snubEBR,Left pupil is hidden,No
softEBR,Clear eyes visible,Yes
sourceEBR,Clear eyes visible,Yes
sourEBR,Glare makes it impossible to see left eye,No
spellEBR,Too dark,No
spineEBR,Bad camera positioning,No
spotEBR,Bad camera positioning,No
spyEBR,Eyes aren’t visible,No
stallEBR,Clear eyes visible little dark,Yes
starEBR,Can’t see pupils,No
stillEBR,Can’t see left eye,No
stirEBR,Can’t see left eye,No
stockEBR,Clear eyes visible,Yes
stopEBR,Clear eyes visible,Yes
storeEBR,Clear eyes visible,Yes
streamEBR,Clear eyes visible,Yes
strictEBR,Clear eyes visible little dark,Yes
strokeEBR,Too blurry,No
stuffEBR,Clear eyes visible,Yes
stunEBR,Clear eyes visible,Yes
stunningEBR,Clear eyes visible little dark,Yes
styleEBR,Bad camera positioning,No
suiteEBR,Left eye hidden,No
summaryEBR,Hidden pupils,No
summerEBR,Can’t see left eye,No
surroundEBR,Left pupil hidden,No
suspectEBR,Left pupil hidden,No
tabletEBR,Bad camera positioning,No
tacticEBR,Clear eyes visible glare,Yes
tearEBR,Left eye hidden,No
teenagerEBR,Clear eyes visible (only near the end),Yes
teenEBR,Horrible camera positioning,No
tentEBR,Clear eyes visible glare,Yes
terminalEBR,Clear eyes visible,Yes
terreB,Left eye hidden,No
terreEBR (1),Left eye hidden,No
textureEBR,Clear eyes visible might be too dark,Maybe
thankB,Can’t really see the eyes,No
thankEBR (1),Can’t really see the eyes,No
themeEBR,Left eye hidden,No
threatenB,Left eye hidden,No
threatenEBR (1),Left eye hidden,No
timeB,Clear eyes visible little dark,Yes
timeEBR (1),Clear eyes visible little dark,Yes
tinB,Clear eyes visible,Yes
tinEBR (1),Clear eyes visible,Yes
tolerateEBR,Too dark,No
tomatoB,Right eye hidden,No
tomatoEBR (1),Right eye hidden,No
toothB,Too dark & bad camera positioning,No
toothEBR (1),Too dark & bad camera positioning,No
traceEBR,Clear eyes visible (end is good),Yes
tractB,Clear eyes visible glare,Yes
tractEBR (1),Clear eyes visible glare,Yes
trafficB,Clear eyes visible (for some frames),Yes
TrafficEBR (1),Clear eyes visible (for some frames),Yes
tranceEBR,Clear left pupil doesn’t seem to be visible maybe works,Maybe
transactionB,Clear eyes visible,Yes
transactionEBR (1),Clear eyes visible,Yes
transformB,Left eye is not seen,No
transformEBR (1),Left eye is not seen,No
treasurerEBR,Clear eyes visible,Yes
tribeEBR,Clear eyes visible,Yes
tripEBR,Clear eyes visible,Yes
troubleEBR,Clear eyes visible,Yes
trustEBR,Clear eyes visible (for some parts),Yes
truthEBR,Clear eyes visible (eyes are kind of flat),Maybe
uncleEBR,Clear eyes visible,Yes
ungentEBR,Too dark,No
unionEBR,Left eye hidden,No
unitEBR,Clear eyes visible,Yes
urgeEBR,Camera positioning is bad,No
urgencyEBR,Left pupil hidden,No
useEBR,Clear eyes visible (for the end),Yes
validEBR,Clear eyes visible,Yes
verdictEBR,Clear eyes visible,Yes
viableEBR,Clear eyes visible (more than halfway through),Yes
victoryEBR,Clear eyes visible,Yes
visualEBR,Too much glare left eye hidden,No
volumeEBR,Left pupil hidden,No
waiterEBR,Clear eyes visible (near the end),Yes
wasteEBR,Clear eyes visible,Yes
waterEBR,Clear eyes visible (near the start),Yes
waveEBR,Little too dark,No
wearEBR,Too dark or too much glare,No
weddingEBR,Clear eyes visible,Yes
weighEBR,Too much glare or left pupil hidden,No
westEBR,Clear eyes visible (maybe left eye is harder to see),Maybe
widenEBR,Clear eyes visible,Yes
witchEBR,Clear eyes visible little dark,Yes
wolfEBR,Clear eyes visible,Yes
womanEBR,Left pupil hidden,No
wordEBR,Too dark,No
worryEBR,Right eye hidden,No
wrapEBR,Clear eyes visible,Yes
zoneEBR,Too blurry,No
